image_id,image_path,mask_path,image_size,mask_size,size_matches,unique_mask_values,wrinkle_pixels,total_pixels,wrinkle_area_ratio
00001,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\00000\00001.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\00001.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",12557,1048576,0.011975288391113281
00011,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\00000\00011.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\00011.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",9395,1048576,0.008959770202636719
00016,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\00000\00016.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\00016.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",8567,1048576,0.008170127868652344
00017,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\00000\00017.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\00017.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",5619,1048576,0.005358695983886719
00018,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\00000\00018.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\00018.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",5579,1048576,0.005320549011230469
00021,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\00000\00021.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\00021.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",9656,1048576,0.00920867919921875
00027,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\00000\00027.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\00027.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",4358,1048576,0.0041561126708984375
00036,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\00000\00036.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\00036.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",4358,1048576,0.0041561126708984375
00040,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\00000\00040.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\00040.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",4249,1048576,0.004052162170410156
00045,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\00000\00045.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\00045.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",6728,1048576,0.00641632080078125
00048,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\00000\00048.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\00048.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",5770,1048576,0.0055027008056640625
00056,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\00000\00056.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\00056.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",5015,1048576,0.004782676696777344
00062,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\00000\00062.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\00062.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",13199,1048576,0.012587547302246094
00065,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\00000\00065.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\00065.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",9389,1048576,0.008954048156738281
00074,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\00000\00074.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\00074.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",6992,1048576,0.0066680908203125
00094,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\00000\00094.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\00094.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",3748,1048576,0.003574371337890625
00113,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\00000\00113.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\00113.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",3727,1048576,0.0035543441772460938
00114,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\00000\00114.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\00114.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",11932,1048576,0.011379241943359375
00123,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\00000\00123.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\00123.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",8467,1048576,0.008074760437011719
00125,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\00000\00125.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\00125.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",16086,1048576,0.015340805053710938
00132,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\00000\00132.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\00132.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",10748,1048576,0.010250091552734375
00133,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\00000\00133.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\00133.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",11825,1048576,0.011277198791503906
00142,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\00000\00142.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\00142.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",12882,1048576,0.012285232543945312
00144,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\00000\00144.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\00144.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",21590,1048576,0.020589828491210938
00167,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\00000\00167.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\00167.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",9331,1048576,0.008898735046386719
00174,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\00000\00174.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\00174.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",7644,1048576,0.007289886474609375
00175,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\00000\00175.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\00175.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",24619,1048576,0.02347850799560547
00189,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\00000\00189.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\00189.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",13182,1048576,0.012571334838867188
00197,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\00000\00197.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\00197.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",9634,1048576,0.009187698364257812
00232,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\00000\00232.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\00232.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",12041,1048576,0.011483192443847656
00251,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\00000\00251.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\00251.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",21744,1048576,0.0207366943359375
00257,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\00000\00257.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\00257.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",13446,1048576,0.012823104858398438
00259,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\00000\00259.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\00259.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",22790,1048576,0.021734237670898438
00264,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\00000\00264.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\00264.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",12911,1048576,0.012312889099121094
00267,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\00000\00267.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\00267.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",19059,1048576,0.01817607879638672
00323,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\00000\00323.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\00323.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",17057,1048576,0.016266822814941406
00336,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\00000\00336.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\00336.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",10755,1048576,0.010256767272949219
00378,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\00000\00378.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\00378.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",16175,1048576,0.015425682067871094
00387,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\00000\00387.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\00387.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",20761,1048576,0.019799232482910156
00396,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\00000\00396.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\00396.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",7984,1048576,0.0076141357421875
00413,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\00000\00413.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\00413.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",5714,1048576,0.0054492950439453125
00420,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\00000\00420.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\00420.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",5235,1048576,0.004992485046386719
00427,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\00000\00427.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\00427.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",885,1048576,0.0008440017700195312
00439,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\00000\00439.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\00439.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",5426,1048576,0.0051746368408203125
00445,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\00000\00445.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\00445.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",26274,1048576,0.025056838989257812
00447,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\00000\00447.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\00447.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",7610,1048576,0.0072574615478515625
00492,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\00000\00492.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\00492.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",6652,1048576,0.006343841552734375
00536,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\00000\00536.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\00536.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",17716,1048576,0.016895294189453125
00566,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\00000\00566.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\00566.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",7684,1048576,0.007328033447265625
00570,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\00000\00570.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\00570.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",5225,1048576,0.004982948303222656
00652,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\00000\00652.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\00652.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",15662,1048576,0.014936447143554688
00656,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\00000\00656.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\00656.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",11703,1048576,0.011160850524902344
00675,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\00000\00675.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\00675.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",6922,1048576,0.0066013336181640625
00679,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\00000\00679.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\00679.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",11672,1048576,0.01113128662109375
00689,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\00000\00689.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\00689.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",10815,1048576,0.010313987731933594
01000,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\01000\01000.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\01000.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",8016,1048576,0.0076446533203125
01012,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\01000\01012.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\01012.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",3640,1048576,0.00347137451171875
01014,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\01000\01014.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\01014.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",10139,1048576,0.009669303894042969
01018,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\01000\01018.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\01018.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",3228,1048576,0.003078460693359375
01031,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\01000\01031.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\01031.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",6041,1048576,0.005761146545410156
01033,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\01000\01033.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\01033.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",19817,1048576,0.018898963928222656
01044,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\01000\01044.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\01044.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",3502,1048576,0.0033397674560546875
01051,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\01000\01051.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\01051.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",2876,1048576,0.002742767333984375
01054,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\01000\01054.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\01054.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",4560,1048576,0.0043487548828125
01059,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\01000\01059.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\01059.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",3000,1048576,0.00286102294921875
01064,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\01000\01064.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\01064.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",15508,1048576,0.014789581298828125
01068,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\01000\01068.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\01068.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",7439,1048576,0.007094383239746094
01080,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\01000\01080.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\01080.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",2922,1048576,0.0027866363525390625
01084,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\01000\01084.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\01084.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",4746,1048576,0.0045261383056640625
01088,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\01000\01088.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\01088.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",5335,1048576,0.005087852478027344
01103,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\01000\01103.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\01103.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",2607,1048576,0.0024862289428710938
01104,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\01000\01104.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\01104.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",7070,1048576,0.0067424774169921875
01126,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\01000\01126.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\01126.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",6319,1048576,0.006026268005371094
01148,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\01000\01148.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\01148.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",6406,1048576,0.0061092376708984375
01165,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\01000\01165.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\01165.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",2578,1048576,0.0024585723876953125
01168,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\01000\01168.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\01168.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",1919,1048576,0.0018301010131835938
01171,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\01000\01171.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\01171.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",7487,1048576,0.007140159606933594
01174,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\01000\01174.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\01174.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",10602,1048576,0.010110855102539062
01177,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\01000\01177.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\01177.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",6364,1048576,0.006069183349609375
01179,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\01000\01179.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\01179.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",4891,1048576,0.004664421081542969
01186,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\01000\01186.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\01186.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",1780,1048576,0.001697540283203125
01189,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\01000\01189.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\01189.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",3254,1048576,0.0031032562255859375
01196,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\01000\01196.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\01196.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",1029,1048576,0.0009813308715820312
01212,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\01000\01212.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\01212.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",1993,1048576,0.0019006729125976562
01217,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\01000\01217.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\01217.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",6892,1048576,0.006572723388671875
01224,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\01000\01224.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\01224.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",8483,1048576,0.008090019226074219
01238,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\01000\01238.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\01238.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",11118,1048576,0.010602951049804688
01248,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\01000\01248.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\01248.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",11798,1048576,0.011251449584960938
01273,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\01000\01273.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\01273.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",2583,1048576,0.0024633407592773438
01301,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\01000\01301.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\01301.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",1657,1048576,0.0015802383422851562
01309,C:\Users\student\ffhq-wrinkle-dataset\data\images1024x1024\01000\01309.png,C:\Users\student\ffhq-wrinkle-dataset\data\manual_wrinkle_masks\01309.png,"(1024, 1024)","(1024, 1024)",True,"[0, 255]",5487,1048576,0.005232810974121094
